#id,full name,three letter code,single letter code,monoisotopic mass,average mass,composition
0,Glycine,Gly,G,57.021464,57.050000,C2H3NO
1,Alanine,Ala,A,71.037114,71.080000,C3H5NO
2,Serine,Ser,S,87.032029,87.080000,C3H5NO2
3,Proline,Pro,P,97.052764,97.120000,C5H7NO
4,Valine,Val,V,99.068414,99.130000,C5H9NO
5,Threonine,Thr,T,101.047680,101.110000,C4H7NO2
6,Cysteine,Cys,C,103.009190,103.140000,C3H5NOS
7,Leucine,Leu,L,113.084060,113.160000,C6H11NO
8,Isoleucine,Ile,I,113.084060,113.160000,C6H11NO
9,Asparagine,Asn,N,114.042930,114.100000,C4H6N2O2
10,Aspartic Acid,Asp,D,115.026940,115.090000,C4H5NO3
11,Glutamine,Gln,Q,128.058580,128.130000,C5H8N2O2
12,Lysine,Lys,K,128.094960,128.170000,C6H12N2O
13,Glutamic Acid,Glu,E,129.042590,129.120000,C5H7NO3
14,Methionine,Met,M,131.040480,131.200000,C5H9NOS
15,Histidine,His,H,137.058910,137.140000,C6H7N3O
16,Phenylalanine,Phe,F,147.068410,147.180000,C9H9NO
17,Arginine,Arg,R,156.101110,156.190000,C6H12N4O
18,Tyrosine,Tyr,Y,163.063330,163.170000,C9H9NO2
19,Tryptophan,Trp,W,186.079310,186.210000,C11H10N2O
128,Stop,[$],$,0.000000,0.000000,
129,Unknown,[X],X,0.000000,0.000000,
